,Title,Price,Processor,Ram(GBs),Storage(GBs),Display(cm),Operating System,Brand,Processor Brand
225,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 6...,60677.0,AMD Ryzen 5 Hexa Core Processor,8,512,39.62,1,HP,AMD
226,MSI Katana GF66 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,74990.0,Intel Core i5 Processor (12th Gen),8,512,39.62,1,MSI,INTEL
227,MSI Katana 15 HX Intel Core i9 14th Gen 14900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,127990.0,Intel Core i9 Processor (14th Gen),16,1024,39.62,1,MSI,INTEL
228,HP OMEN AI PC OLED Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,185400.0,Intel Core Ultra 7 Processor,16,1024,35.56,1,HP,INTEL
229,HP Intel Core 7 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 5060) 15-fa2405TX G...,119990.0,Intel Core 7 Processor,24,1024,39.62,1,HP,INTEL
230,HP Victus AMD Ryzen 5 Hexa Core 8645HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,64599.0,AMD Ryzen 5 Hexa Core Processor,16,512,39.62,1,HP,AMD
231,Lenovo 7235HS AMD Core 5 RYZEN 5 7235HS - (12 GB + 16 GB Optane/512 GB SSD/Windows 11 Home/6 GB Graphi...,71900.0,AMD Core 5 Processor,12,512,39.62,1,LENOVO,AMD
232,HP Intel Core 7 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 5050) 15-fa2409TX G...,110990.0,Intel Core 7 Processor,24,1024,39.62,1,HP,INTEL
233,MSI Katana A15 AI AMD Ryzen 9 Octa Core AMD Ryzen™ 9 8945HS - (16 GB/512 GB SSD/Windows 11 Home/8 GB G...,115990.0,AMD Ryzen 9 Octa Core Processor,16,512,39.62,1,MSI,AMD
234,MSI Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,68990.0,Intel Core i7 Processor (12th Gen),16,512,39.62,1,MSI,INTEL
235,Acer Aspire 7 Intel Core 7 - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) ...,99999.0,Intel Core 7 Processor,16,512,39.62,1,ACER,INTEL
236,HP Omen Ryzen 7 AMD Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,91990.0,AMD Ryzen 7 Octa Core Processor,16,512,40.89,1,HP,AMD
237,Acer Predator Helios Neo 16 Intel Core i9 14th Gen 14900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Grap...,167999.0,Intel Core i9 Processor (14th Gen),16,1024,40.64,1,ACER,INTEL
